Step 0: x = 0, y = 0, z = 0, vx = 0, vy = 0, vz = 0, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 76: x = 0, y = 0, z = -25.2931, vx = 0, vy = 0, vz = -22.3668, phi = 0.0025783, theta = 27244.9, psi = 0, p = 0.00228, q = 24092.8, r = 0
Step 77: x = 0, y = 0, z = -25.9658, vx = 0, vy = 0, vz = -22.6611, phi = 0.00264688, theta = 27969.5, psi = 0, p = 0.00231, q = 24409.8, r = 0
Step 78: x = 0, y = 0, z = -26.6474, vx = 0, vy = 0, vz = -22.9554, phi = 0.00271635, theta = 28703.7, psi = 0, p = 0.00234, q = 24726.8, r = 0
Step 79: x = 0, y = 0, z = -27.3378, vx = 0, vy = 0, vz = -23.2497, phi = 0.00278673, theta = 29447.3, psi = 0, p = 0.00237, q = 25043.8, r = 0
Step 80: x = 0, y = 0, z = -28.037, vx = 0, vy = 0, vz = -23.544, phi = 0.002858, theta = 30200.5, psi = 0, p = 0.0024, q = 25360.8, r = 0
Step 81: x = 0, y = 0, z = -28.745, vx = 0, vy = 0, vz = -23.8383, phi = 0.00293018, theta = 30963.2, psi = 0, p = 0.00243, q = 25677.8, r = 0
Step 82: x = 0, y = 0, z = -29.4619, vx = 0, vy = 0, vz = -24.1326, phi = 0.00300325, theta = 31735.3, psi = 0, p = 0.00246, q = 25994.8, r = 0
Step 83: x = 0, y = 0, z = -30.1876, vx = 0, vy = 0, vz = -24.4269, phi = 0.00307723, theta = 32517, psi = 0, p = 0.00249, q = 26311.8, r = 0
Step 84: x = 0, y = 0, z = -30.9221, vx = 0, vy = 0, vz = -24.7212, phi = 0.0031521, theta = 33308.2, psi = 0, p = 0.00252, q = 26628.8, r = 0
Step 85: x = 0, y = 0, z = -31.6655, vx = 0, vy = 0, vz = -25.0155, phi = 0.00322788, theta = 34109, psi = 0, p = 0.00255, q = 26945.8, r = 0
Step 86: x = 0, y = 0, z = -32.4176, vx = 0, vy = 0, vz = -25.3098, phi = 0.00330455, theta = 34919.2, psi = 0, p = 0.00258, q = 27262.9, r = 0
Step 87: x = 0, y = 0, z = -33.1786, vx = 0, vy = 0, vz = -25.6041, phi = 0.00338213, theta = 35738.9, psi = 0, p = 0.00261, q = 27579.9, r = 0
Step 88: x = 0, y = 0, z = -33.9485, vx = 0, vy = 0, vz = -25.8984, phi = 0.0034606, theta = 36568.2, psi = 0, p = 0.00264, q = 27896.9, r = 0
Step 89: x = 0, y = 0, z = -34.7272, vx = 0, vy = 0, vz = -26.1927, phi = 0.00353998, theta = 37406.9, psi = 0, p = 0.00267, q = 28213.9, r = 0
Step 90: x = 0, y = 0, z = -35.5147, vx = 0, vy = 0, vz = -26.487, phi = 0.00362025, theta = 38255.2, psi = 0, p = 0.0027, q = 28530.9, r = 0
Step 91: x = 0, y = 0, z = -36.311, vx = 0, vy = 0, vz = -26.7813, phi = 0.00370143, theta = 39113, psi = 0, p = 0.00273, q = 28847.9, r = 0
Step 92: x = 0, y = 0, z = -37.1161, vx = 0, vy = 0, vz = -27.0756, phi = 0.0037835, theta = 39980.2, psi = 0, p = 0.00276, q = 29164.9, r = 0
Step 93: x = 0, y = 0, z = -37.9301, vx = 0, vy = 0, vz = -27.3699, phi = 0.00386648, theta = 40857, psi = 0, p = 0.00279, q = 29481.9, r = 0
Step 94: x = 0, y = 0, z = -38.7529, vx = 0, vy = 0, vz = -27.6642, phi = 0.00395035, theta = 41743.3, psi = 0, p = 0.00282, q = 29798.9, r = 0
Step 95: x = 0, y = 0, z = -39.5846, vx = 0, vy = 0, vz = -27.9585, phi = 0.00403513, theta = 42639.2, psi = 0, p = 0.00285, q = 30115.9, r = 0
Step 96: x = 0, y = 0, z = -40.425, vx = 0, vy = 0, vz = -28.2528, phi = 0.0041208, theta = 43544.5, psi = 0, p = 0.00288, q = 30433, r = 0
Step 97: x = 0, y = 0, z = -41.2743, vx = 0, vy = 0, vz = -28.5471, phi = 0.00420738, theta = 44459.3, psi = 0, p = 0.00291, q = 30750, r = 0
Step 98: x = 0, y = 0, z = -42.1325, vx = 0, vy = 0, vz = -28.8414, phi = 0.00429485, theta = 45383.7, psi = 0, p = 0.00294, q = 31067, r = 0
Step 99: x = 0, y = 0, z = -42.9994, vx = 0, vy = 0, vz = -29.1357, phi = 0.00438323, theta = 46317.5, psi = 0, p = 0.00297, q = 31384, r = 0
Step 100: x = 0, y = 0, z = -43.8752, vx = 0, vy = 0, vz = -29.43, phi = 0.0044725, theta = 47260.9, psi = 0, p = 0.003, q = 31701, r = 0
Step 101: x = 0, y = 0, z = -44.7598, vx = 0, vy = 0, vz = -29.7243, phi = 0.00456268, theta = 48213.8, psi = 0, p = 0.00303, q = 32018, r = 0
Step 102: x = 0, y = 0, z = -45.6533, vx = 0, vy = 0, vz = -30.0186, phi = 0.00465375, theta = 49176.2, psi = 0, p = 0.00306, q = 32335, r = 0
Step 103: x = 0, y = 0, z = -46.5556, vx = 0, vy = 0, vz = -30.3129, phi = 0.00474573, theta = 50148.1, psi = 0, p = 0.00309, q = 32652, r = 0
Step 104: x = 0, y = 0, z = -47.4667, vx = 0, vy = 0, vz = -30.6072, phi = 0.0048386, theta = 51129.5, psi = 0, p = 0.00312, q = 32969, r = 0
Step 105: x = 0, y = 0, z = -48.3866, vx = 0, vy = 0, vz = -30.9015, phi = 0.00493238, theta = 52120.4, psi = 0, p = 0.00315, q = 33286, r = 0
Step 106: x = 0, y = 0, z = -49.3154, vx = 0, vy = 0, vz = -31.1958, phi = 0.00502705, theta = 53120.8, psi = 0, p = 0.00318, q = 33603.1, r = 0
Step 107: x = 0, y = 0, z = -50.253, vx = 0, vy = 0, vz = -31.4901, phi = 0.00512263, theta = 54130.8, psi = 0, p = 0.00321, q = 33920.1, r = 0
Step 108: x = 0, y = 0, z = -51.1994, vx = 0, vy = 0, vz = -31.7844, phi = 0.0052191, theta = 55150.2, psi = 0, p = 0.00324, q = 34237.1, r = 0
Step 109: x = 0, y = 0, z = -52.1546, vx = 0, vy = 0, vz = -32.0787, phi = 0.00531648, theta = 56179.2, psi = 0, p = 0.00327, q = 34554.1, r = 0
Step 110: x = 0, y = 0, z = -53.1187, vx = 0, vy = 0, vz = -32.373, phi = 0.00541475, theta = 57217.7, psi = 0, p = 0.0033, q = 34871.1, r = 0
Step 111: x = 0, y = 0, z = -54.0916, vx = 0, vy = 0, vz = -32.6673, phi = 0.00551393, theta = 58265.6, psi = 0, p = 0.00333, q = 35188.1, r = 0
Step 112: x = 0, y = 0, z = -55.0733, vx = 0, vy = 0, vz = -32.9616, phi = 0.005614, theta = 59323.1, psi = 0, p = 0.00336, q = 35505.1, r = 0
Step 113: x = 0, y = 0, z = -56.0639, vx = 0, vy = 0, vz = -33.2559, phi = 0.00571498, theta = 60390.1, psi = 0, p = 0.00339, q = 35822.1, r = 0
Step 114: x = 0, y = 0, z = -57.0633, vx = 0, vy = 0, vz = -33.5502, phi = 0.00581685, theta = 61466.7, psi = 0, p = 0.00342, q = 36139.1, r = 0
Step 115: x = 0, y = 0, z = -58.0715, vx = 0, vy = 0, vz = -33.8445, phi = 0.00591963, theta = 62552.7, psi = 0, p = 0.00345, q = 36456.1, r = 0
Step 116: x = 0, y = 0, z = -59.0886, vx = 0, vy = 0, vz = -34.1388, phi = 0.0060233, theta = 63648.2, psi = 0, p = 0.00348, q = 36773.2, r = 0
Step 117: x = 0, y = 0, z = -60.1145, vx = 0, vy = 0, vz = -34.4331, phi = 0.00612788, theta = 64753.3, psi = 0, p = 0.00351, q = 37090.2, r = 0
Step 118: x = 0, y = 0, z = -61.1492, vx = 0, vy = 0, vz = -34.7274, phi = 0.00623335, theta = 65867.8, psi = 0, p = 0.00354, q = 37407.2, r = 0
Step 119: x = 0, y = 0, z = -62.1927, vx = 0, vy = 0, vz = -35.0217, phi = 0.00633973, theta = 66991.9, psi = 0, p = 0.00357, q = 37724.2, r = 0
Step 120: x = 0, y = 0, z = -63.2451, vx = 0, vy = 0, vz = -35.316, phi = 0.006447, theta = 68125.4, psi = 0, p = 0.0036, q = 38041.2, r = 0
