Step 0: x = 0, y = 0, z = 0, vx = 0, vy = 0, vz = 0, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 314: x = 0, y = 0, z = -434.405, vx = 0, vy = 0, vz = -92.4102, phi = 0.0442818, theta = 467926, psi = 0, p = 0.00942, q = 99541.1, r = 0
Step 315: x = 0, y = 0, z = -437.179, vx = 0, vy = 0, vz = -92.7045, phi = 0.0445646, theta = 470914, psi = 0, p = 0.00945, q = 99858.2, r = 0
Step 316: x = 0, y = 0, z = -439.962, vx = 0, vy = 0, vz = -92.9988, phi = 0.0448483, theta = 473912, psi = 0, p = 0.00948, q = 100175, r = 0
Step 317: x = 0, y = 0, z = -442.754, vx = 0, vy = 0, vz = -93.2931, phi = 0.0451329, theta = 476919, psi = 0, p = 0.00951, q = 100492, r = 0
Step 318: x = 0, y = 0, z = -445.554, vx = 0, vy = 0, vz = -93.5874, phi = 0.0454183, theta = 479936, psi = 0, p = 0.00954, q = 100809, r = 0
Step 319: x = 0, y = 0, z = -448.363, vx = 0, vy = 0, vz = -93.8817, phi = 0.0457047, theta = 482962, psi = 0, p = 0.00957, q = 101126, r = 0
Step 320: x = 0, y = 0, z = -451.182, vx = 0, vy = 0, vz = -94.176, phi = 0.045992, theta = 485997, psi = 0, p = 0.0096, q = 101443, r = 0
Step 321: x = 0, y = 0, z = -454.009, vx = 0, vy = 0, vz = -94.4703, phi = 0.0462802, theta = 489043, psi = 0, p = 0.00963, q = 101760, r = 0
Step 322: x = 0, y = 0, z = -456.844, vx = 0, vy = 0, vz = -94.7646, phi = 0.0465692, theta = 492097, psi = 0, p = 0.00966, q = 102077, r = 0
Step 323: x = 0, y = 0, z = -459.689, vx = 0, vy = 0, vz = -95.0589, phi = 0.0468592, theta = 495161, psi = 0, p = 0.00969, q = 102394, r = 0
Step 324: x = 0, y = 0, z = -462.542, vx = 0, vy = 0, vz = -95.3532, phi = 0.0471501, theta = 498235, psi = 0, p = 0.00972, q = 102711, r = 0
Step 325: x = 0, y = 0, z = -465.405, vx = 0, vy = 0, vz = -95.6475, phi = 0.0474419, theta = 501318, psi = 0, p = 0.00975, q = 103028, r = 0
Step 326: x = 0, y = 0, z = -468.276, vx = 0, vy = 0, vz = -95.9418, phi = 0.0477345, theta = 504411, psi = 0, p = 0.00978, q = 103345, r = 0
Step 327: x = 0, y = 0, z = -471.156, vx = 0, vy = 0, vz = -96.2361, phi = 0.0480281, theta = 507513, psi = 0, p = 0.00981, q = 103662, r = 0
Step 328: x = 0, y = 0, z = -474.045, vx = 0, vy = 0, vz = -96.5304, phi = 0.0483226, theta = 510625, psi = 0, p = 0.00984, q = 103979, r = 0
Step 329: x = 0, y = 0, z = -476.942, vx = 0, vy = 0, vz = -96.8247, phi = 0.048618, theta = 513746, psi = 0, p = 0.00987, q = 104296, r = 0
Step 330: x = 0, y = 0, z = -479.849, vx = 0, vy = 0, vz = -97.119, phi = 0.0489142, theta = 516877, psi = 0, p = 0.0099, q = 104613, r = 0
Step 331: x = 0, y = 0, z = -482.764, vx = 0, vy = 0, vz = -97.4133, phi = 0.0492114, theta = 520017, psi = 0, p = 0.00993, q = 104930, r = 0
Step 332: x = 0, y = 0, z = -485.688, vx = 0, vy = 0, vz = -97.7076, phi = 0.0495095, theta = 523167, psi = 0, p = 0.00996, q = 105247, r = 0
Step 333: x = 0, y = 0, z = -488.621, vx = 0, vy = 0, vz = -98.0019, phi = 0.0498085, theta = 526326, psi = 0, p = 0.00999, q = 105564, r = 0
Step 334: x = 0, y = 0, z = -491.563, vx = 0, vy = 0, vz = -98.2962, phi = 0.0501083, theta = 529495, psi = 0, p = 0.01002, q = 105881, r = 0
Step 335: x = 0, y = 0, z = -494.514, vx = 0, vy = 0, vz = -98.5905, phi = 0.0504091, theta = 532673, psi = 0, p = 0.01005, q = 106198, r = 0
Step 336: x = 0, y = 0, z = -497.473, vx = 0, vy = 0, vz = -98.8848, phi = 0.0507108, theta = 535861, psi = 0, p = 0.01008, q = 106515, r = 0
Step 337: x = 0, y = 0, z = -500.441, vx = 0, vy = 0, vz = -99.1791, phi = 0.0510134, theta = 539058, psi = 0, p = 0.01011, q = 106832, r = 0
Step 338: x = 0, y = 0, z = -503.418, vx = 0, vy = 0, vz = -99.4734, phi = 0.0513168, theta = 542265, psi = 0, p = 0.01014, q = 107149, r = 0
Step 339: x = 0, y = 0, z = -506.404, vx = 0, vy = 0, vz = -99.7677, phi = 0.0516212, theta = 545481, psi = 0, p = 0.01017, q = 107466, r = 0
Step 340: x = 0, y = 0, z = -509.399, vx = 0, vy = 0, vz = -100.062, phi = 0.0519265, theta = 548707, psi = 0, p = 0.0102, q = 107783, r = 0
Step 341: x = 0, y = 0, z = -512.403, vx = 0, vy = 0, vz = -100.356, phi = 0.0522327, theta = 551943, psi = 0, p = 0.01023, q = 108100, r = 0
Step 342: x = 0, y = 0, z = -515.415, vx = 0, vy = 0, vz = -100.651, phi = 0.0525397, theta = 555188, psi = 0, p = 0.01026, q = 108417, r = 0
Step 343: x = 0, y = 0, z = -518.436, vx = 0, vy = 0, vz = -100.945, phi = 0.0528477, theta = 558442, psi = 0, p = 0.01029, q = 108734, r = 0
Step 344: x = 0, y = 0, z = -521.466, vx = 0, vy = 0, vz = -101.239, phi = 0.0531566, theta = 561706, psi = 0, p = 0.01032, q = 109051, r = 0
Step 345: x = 0, y = 0, z = -524.505, vx = 0, vy = 0, vz = -101.533, phi = 0.0534664, theta = 564979, psi = 0, p = 0.01035, q = 109368, r = 0
Step 346: x = 0, y = 0, z = -527.553, vx = 0, vy = 0, vz = -101.828, phi = 0.053777, theta = 568262, psi = 0, p = 0.01038, q = 109685, r = 0
Step 347: x = 0, y = 0, z = -530.609, vx = 0, vy = 0, vz = -102.122, phi = 0.0540886, theta = 571555, psi = 0, p = 0.01041, q = 110002, r = 0
Step 348: x = 0, y = 0, z = -533.675, vx = 0, vy = 0, vz = -102.416, phi = 0.0544011, theta = 574856, psi = 0, p = 0.01044, q = 110319, r = 0
Step 349: x = 0, y = 0, z = -536.749, vx = 0, vy = 0, vz = -102.711, phi = 0.0547145, theta = 578168, psi = 0, p = 0.01047, q = 110636, r = 0
Step 350: x = 0, y = 0, z = -539.832, vx = 0, vy = 0, vz = -103.005, phi = 0.0550287, theta = 581489, psi = 0, p = 0.0105, q = 110954, r = 0
Step 351: x = 0, y = 0, z = -542.924, vx = 0, vy = 0, vz = -103.299, phi = 0.0553439, theta = 584819, psi = 0, p = 0.01053, q = 111271, r = 0
Step 352: x = 0, y = 0, z = -546.025, vx = 0, vy = 0, vz = -103.594, phi = 0.05566, theta = 588159, psi = 0, p = 0.01056, q = 111588, r = 0
Step 353: x = 0, y = 0, z = -549.134, vx = 0, vy = 0, vz = -103.888, phi = 0.055977, theta = 591509, psi = 0, p = 0.01059, q = 111905, r = 0
Step 354: x = 0, y = 0, z = -552.252, vx = 0, vy = 0, vz = -104.182, phi = 0.0562948, theta = 594868, psi = 0, p = 0.01062, q = 112222, r = 0
Step 355: x = 0, y = 0, z = -555.38, vx = 0, vy = 0, vz = -104.476, phi = 0.0566136, theta = 598236, psi = 0, p = 0.01065, q = 112539, r = 0
Step 356: x = 0, y = 0, z = -558.516, vx = 0, vy = 0, vz = -104.771, phi = 0.0569333, theta = 601614, psi = 0, p = 0.01068, q = 112856, r = 0
Step 357: x = 0, y = 0, z = -561.661, vx = 0, vy = 0, vz = -105.065, phi = 0.0572539, theta = 605002, psi = 0, p = 0.01071, q = 113173, r = 0
Step 358: x = 0, y = 0, z = -564.814, vx = 0, vy = 0, vz = -105.359, phi = 0.0575753, theta = 608399, psi = 0, p = 0.01074, q = 113490, r = 0
Step 359: x = 0, y = 0, z = -567.977, vx = 0, vy = 0, vz = -105.654, phi = 0.0578977, theta = 611805, psi = 0, p = 0.01077, q = 113807, r = 0
Step 360: x = 0, y = 0, z = -571.148, vx = 0, vy = 0, vz = -105.948, phi = 0.058221, theta = 615221, psi = 0, p = 0.0108, q = 114124, r = 0
Step 361: x = 0, y = 0, z = -574.328, vx = 0, vy = 0, vz = -106.242, phi = 0.0585452, theta = 618647, psi = 0, p = 0.01083, q = 114441, r = 0
Step 362: x = 0, y = 0, z = -577.517, vx = 0, vy = 0, vz = -106.537, phi = 0.0588702, theta = 622082, psi = 0, p = 0.01086, q = 114758, r = 0
Step 363: x = 0, y = 0, z = -580.715, vx = 0, vy = 0, vz = -106.831, phi = 0.0591962, theta = 625527, psi = 0, p = 0.01089, q = 115075, r = 0
Step 364: x = 0, y = 0, z = -583.922, vx = 0, vy = 0, vz = -107.125, phi = 0.0595231, theta = 628981, psi = 0, p = 0.01092, q = 115392, r = 0
Step 365: x = 0, y = 0, z = -587.137, vx = 0, vy = 0, vz = -107.419, phi = 0.0598509, theta = 632444, psi = 0, p = 0.01095, q = 115709, r = 0
Step 366: x = 0, y = 0, z = -590.361, vx = 0, vy = 0, vz = -107.714, phi = 0.0601795, theta = 635917, psi = 0, p = 0.01098, q = 116026, r = 0
Step 367: x = 0, y = 0, z = -593.595, vx = 0, vy = 0, vz = -108.008, phi = 0.0605091, theta = 639400, psi = 0, p = 0.01101, q = 116343, r = 0
Step 368: x = 0, y = 0, z = -596.836, vx = 0, vy = 0, vz = -108.302, phi = 0.0608396, theta = 642892, psi = 0, p = 0.01104, q = 116660, r = 0
Step 369: x = 0, y = 0, z = -600.087, vx = 0, vy = 0, vz = -108.597, phi = 0.061171, theta = 646394, psi = 0, p = 0.01107, q = 116977, r = 0
Step 370: x = 0, y = 0, z = -603.347, vx = 0, vy = 0, vz = -108.891, phi = 0.0615032, theta = 649905, psi = 0, p = 0.0111, q = 117294, r = 0
Step 371: x = 0, y = 0, z = -606.615, vx = 0, vy = 0, vz = -109.185, phi = 0.0618364, theta = 653426, psi = 0, p = 0.01113, q = 117611, r = 0
Step 372: x = 0, y = 0, z = -609.893, vx = 0, vy = 0, vz = -109.48, phi = 0.0621705, theta = 656956, psi = 0, p = 0.01116, q = 117928, r = 0
Step 373: x = 0, y = 0, z = -613.179, vx = 0, vy = 0, vz = -109.774, phi = 0.0625055, theta = 660495, psi = 0, p = 0.01119, q = 118245, r = 0
Step 374: x = 0, y = 0, z = -616.474, vx = 0, vy = 0, vz = -110.068, phi = 0.0628413, theta = 664045, psi = 0, p = 0.01122, q = 118562, r = 0
Step 375: x = 0, y = 0, z = -619.777, vx = 0, vy = 0, vz = -110.362, phi = 0.0631781, theta = 667603, psi = 0, p = 0.01125, q = 118879, r = 0
Step 376: x = 0, y = 0, z = -623.09, vx = 0, vy = 0, vz = -110.657, phi = 0.0635158, theta = 671171, psi = 0, p = 0.01128, q = 119196, r = 0
Step 377: x = 0, y = 0, z = -626.411, vx = 0, vy = 0, vz = -110.951, phi = 0.0638544, theta = 674749, psi = 0, p = 0.01131, q = 119513, r = 0
Step 378: x = 0, y = 0, z = -629.742, vx = 0, vy = 0, vz = -111.245, phi = 0.0641938, theta = 678336, psi = 0, p = 0.01134, q = 119830, r = 0
Step 379: x = 0, y = 0, z = -633.081, vx = 0, vy = 0, vz = -111.54, phi = 0.0645342, theta = 681933, psi = 0, p = 0.01137, q = 120147, r = 0
Step 380: x = 0, y = 0, z = -636.429, vx = 0, vy = 0, vz = -111.834, phi = 0.0648755, theta = 685539, psi = 0, p = 0.0114, q = 120464, r = 0
Step 381: x = 0, y = 0, z = -639.785, vx = 0, vy = 0, vz = -112.128, phi = 0.0652177, theta = 689155, psi = 0, p = 0.01143, q = 120781, r = 0
Step 382: x = 0, y = 0, z = -643.151, vx = 0, vy = 0, vz = -112.423, phi = 0.0655607, theta = 692780, psi = 0, p = 0.01146, q = 121098, r = 0
Step 383: x = 0, y = 0, z = -646.525, vx = 0, vy = 0, vz = -112.717, phi = 0.0659047, theta = 696415, psi = 0, p = 0.01149, q = 121415, r = 0
Step 384: x = 0, y = 0, z = -649.909, vx = 0, vy = 0, vz = -113.011, phi = 0.0662496, theta = 700060, psi = 0, p = 0.01152, q = 121732, r = 0
Step 385: x = 0, y = 0, z = -653.301, vx = 0, vy = 0, vz = -113.305, phi = 0.0665954, theta = 703713, psi = 0, p = 0.01155, q = 122049, r = 0
Step 386: x = 0, y = 0, z = -656.702, vx = 0, vy = 0, vz = -113.6, phi = 0.066942, theta = 707377, psi = 0, p = 0.01158, q = 122366, r = 0
Step 387: x = 0, y = 0, z = -660.111, vx = 0, vy = 0, vz = -113.894, phi = 0.0672896, theta = 711049, psi = 0, p = 0.01161, q = 122683, r = 0
Step 388: x = 0, y = 0, z = -663.53, vx = 0, vy = 0, vz = -114.188, phi = 0.0676381, theta = 714732, psi = 0, p = 0.01164, q = 123000, r = 0
Step 389: x = 0, y = 0, z = -666.957, vx = 0, vy = 0, vz = -114.483, phi = 0.0679875, theta = 718424, psi = 0, p = 0.01167, q = 123317, r = 0
Step 390: x = 0, y = 0, z = -670.393, vx = 0, vy = 0, vz = -114.777, phi = 0.0683377, theta = 722125, psi = 0, p = 0.0117, q = 123634, r = 0
Step 391: x = 0, y = 0, z = -673.838, vx = 0, vy = 0, vz = -115.071, phi = 0.0686889, theta = 725836, psi = 0, p = 0.01173, q = 123951, r = 0
Step 392: x = 0, y = 0, z = -677.292, vx = 0, vy = 0, vz = -115.366, phi = 0.069041, theta = 729556, psi = 0, p = 0.01176, q = 124268, r = 0
Step 393: x = 0, y = 0, z = -680.755, vx = 0, vy = 0, vz = -115.66, phi = 0.069394, theta = 733286, psi = 0, p = 0.01179, q = 124585, r = 0
Step 394: x = 0, y = 0, z = -684.226, vx = 0, vy = 0, vz = -115.954, phi = 0.0697478, theta = 737026, psi = 0, p = 0.01182, q = 124902, r = 0
Step 395: x = 0, y = 0, z = -687.707, vx = 0, vy = 0, vz = -116.248, phi = 0.0701026, theta = 740774, psi = 0, p = 0.01185, q = 125219, r = 0
Step 396: x = 0, y = 0, z = -691.196, vx = 0, vy = 0, vz = -116.543, phi = 0.0704583, theta = 744533, psi = 0, p = 0.01188, q = 125536, r = 0
Step 397: x = 0, y = 0, z = -694.694, vx = 0, vy = 0, vz = -116.837, phi = 0.0708149, theta = 748301, psi = 0, p = 0.01191, q = 125853, r = 0
Step 398: x = 0, y = 0, z = -698.201, vx = 0, vy = 0, vz = -117.131, phi = 0.0711723, theta = 752078, psi = 0, p = 0.01194, q = 126170, r = 0
Step 399: x = 0, y = 0, z = -701.716, vx = 0, vy = 0, vz = -117.426, phi = 0.0715307, theta = 755865, psi = 0, p = 0.01197, q = 126487, r = 0
Step 400: x = 0, y = 0, z = -705.241, vx = 0, vy = 0, vz = -117.72, phi = 0.07189, theta = 759662, psi = 0, p = 0.012, q = 126804, r = 0
Step 401: x = 0, y = 0, z = -708.774, vx = 0, vy = 0, vz = -118.014, phi = 0.0722502, theta = 763468, psi = 0, p = 0.01203, q = 127121, r = 0
Step 402: x = 0, y = 0, z = -712.316, vx = 0, vy = 0, vz = -118.309, phi = 0.0726112, theta = 767283, psi = 0, p = 0.01206, q = 127438, r = 0
Step 403: x = 0, y = 0, z = -715.867, vx = 0, vy = 0, vz = -118.603, phi = 0.0729732, theta = 771108, psi = 0, p = 0.01209, q = 127755, r = 0
Step 404: x = 0, y = 0, z = -719.427, vx = 0, vy = 0, vz = -118.897, phi = 0.0733361, theta = 774943, psi = 0, p = 0.01212, q = 128072, r = 0
Step 405: x = 0, y = 0, z = -722.996, vx = 0, vy = 0, vz = -119.191, phi = 0.0736999, theta = 778787, psi = 0, p = 0.01215, q = 128389, r = 0
Step 406: x = 0, y = 0, z = -726.573, vx = 0, vy = 0, vz = -119.486, phi = 0.0740645, theta = 782640, psi = 0, p = 0.01218, q = 128706, r = 0
Step 407: x = 0, y = 0, z = -730.16, vx = 0, vy = 0, vz = -119.78, phi = 0.0744301, theta = 786503, psi = 0, p = 0.01221, q = 129023, r = 0
Step 408: x = 0, y = 0, z = -733.755, vx = 0, vy = 0, vz = -120.074, phi = 0.0747966, theta = 790376, psi = 0, p = 0.01224, q = 129340, r = 0
Step 409: x = 0, y = 0, z = -737.359, vx = 0, vy = 0, vz = -120.369, phi = 0.075164, theta = 794258, psi = 0, p = 0.01227, q = 129657, r = 0
Step 410: x = 0, y = 0, z = -740.971, vx = 0, vy = 0, vz = -120.663, phi = 0.0755322, theta = 798149, psi = 0, p = 0.0123, q = 129974, r = 0
Step 411: x = 0, y = 0, z = -744.593, vx = 0, vy = 0, vz = -120.957, phi = 0.0759014, theta = 802050, psi = 0, p = 0.01233, q = 130291, r = 0
Step 412: x = 0, y = 0, z = -748.223, vx = 0, vy = 0, vz = -121.252, phi = 0.0762715, theta = 805961, psi = 0, p = 0.01236, q = 130608, r = 0
Step 413: x = 0, y = 0, z = -751.863, vx = 0, vy = 0, vz = -121.546, phi = 0.0766425, theta = 809881, psi = 0, p = 0.01239, q = 130925, r = 0
Step 414: x = 0, y = 0, z = -755.511, vx = 0, vy = 0, vz = -121.84, phi = 0.0770143, theta = 813811, psi = 0, p = 0.01242, q = 131242, r = 0
Step 415: x = 0, y = 0, z = -759.168, vx = 0, vy = 0, vz = -122.134, phi = 0.0773871, theta = 817750, psi = 0, p = 0.01245, q = 131559, r = 0
Step 416: x = 0, y = 0, z = -762.833, vx = 0, vy = 0, vz = -122.429, phi = 0.0777608, theta = 821698, psi = 0, p = 0.01248, q = 131876, r = 0
Step 417: x = 0, y = 0, z = -766.508, vx = 0, vy = 0, vz = -122.723, phi = 0.0781354, theta = 825657, psi = 0, p = 0.01251, q = 132193, r = 0
Step 418: x = 0, y = 0, z = -770.191, vx = 0, vy = 0, vz = -123.017, phi = 0.0785108, theta = 829624, psi = 0, p = 0.01254, q = 132510, r = 0
Step 419: x = 0, y = 0, z = -773.884, vx = 0, vy = 0, vz = -123.312, phi = 0.0788872, theta = 833601, psi = 0, p = 0.01257, q = 132827, r = 0
Step 420: x = 0, y = 0, z = -777.585, vx = 0, vy = 0, vz = -123.606, phi = 0.0792645, theta = 837588, psi = 0, p = 0.0126, q = 133144, r = 0
Step 421: x = 0, y = 0, z = -781.295, vx = 0, vy = 0, vz = -123.9, phi = 0.0796427, theta = 841584, psi = 0, p = 0.01263, q = 133461, r = 0
Step 422: x = 0, y = 0, z = -785.013, vx = 0, vy = 0, vz = -124.195, phi = 0.0800217, theta = 845590, psi = 0, p = 0.01266, q = 133778, r = 0
Step 423: x = 0, y = 0, z = -788.741, vx = 0, vy = 0, vz = -124.489, phi = 0.0804017, theta = 849605, psi = 0, p = 0.01269, q = 134095, r = 0
Step 424: x = 0, y = 0, z = -792.477, vx = 0, vy = 0, vz = -124.783, phi = 0.0807826, theta = 853630, psi = 0, p = 0.01272, q = 134412, r = 0
Step 425: x = 0, y = 0, z = -796.223, vx = 0, vy = 0, vz = -125.077, phi = 0.0811644, theta = 857664, psi = 0, p = 0.01275, q = 134729, r = 0
Step 426: x = 0, y = 0, z = -799.977, vx = 0, vy = 0, vz = -125.372, phi = 0.081547, theta = 861708, psi = 0, p = 0.01278, q = 135046, r = 0
Step 427: x = 0, y = 0, z = -803.739, vx = 0, vy = 0, vz = -125.666, phi = 0.0819306, theta = 865761, psi = 0, p = 0.01281, q = 135363, r = 0
Step 428: x = 0, y = 0, z = -807.511, vx = 0, vy = 0, vz = -125.96, phi = 0.0823151, theta = 869824, psi = 0, p = 0.01284, q = 135680, r = 0
Step 429: x = 0, y = 0, z = -811.292, vx = 0, vy = 0, vz = -126.255, phi = 0.0827005, theta = 873896, psi = 0, p = 0.01287, q = 135997, r = 0
Step 430: x = 0, y = 0, z = -815.081, vx = 0, vy = 0, vz = -126.549, phi = 0.0830867, theta = 877978, psi = 0, p = 0.0129, q = 136314, r = 0
Step 431: x = 0, y = 0, z = -818.879, vx = 0, vy = 0, vz = -126.843, phi = 0.0834739, theta = 882069, psi = 0, p = 0.01293, q = 136631, r = 0
Step 432: x = 0, y = 0, z = -822.686, vx = 0, vy = 0, vz = -127.138, phi = 0.083862, theta = 886170, psi = 0, p = 0.01296, q = 136948, r = 0
Step 433: x = 0, y = 0, z = -826.502, vx = 0, vy = 0, vz = -127.432, phi = 0.084251, theta = 890280, psi = 0, p = 0.01299, q = 137265, r = 0
Step 434: x = 0, y = 0, z = -830.327, vx = 0, vy = 0, vz = -127.726, phi = 0.0846408, theta = 894400, psi = 0, p = 0.01302, q = 137582, r = 0
Step 435: x = 0, y = 0, z = -834.16, vx = 0, vy = 0, vz = -128.02, phi = 0.0850316, theta = 898529, psi = 0, p = 0.01305, q = 137899, r = 0
Step 436: x = 0, y = 0, z = -838.003, vx = 0, vy = 0, vz = -128.315, phi = 0.0854233, theta = 902668, psi = 0, p = 0.01308, q = 138216, r = 0
Step 437: x = 0, y = 0, z = -841.854, vx = 0, vy = 0, vz = -128.609, phi = 0.0858159, theta = 906816, psi = 0, p = 0.01311, q = 138533, r = 0
Step 438: x = 0, y = 0, z = -845.714, vx = 0, vy = 0, vz = -128.903, phi = 0.0862093, theta = 910974, psi = 0, p = 0.01314, q = 138850, r = 0
Step 439: x = 0, y = 0, z = -849.583, vx = 0, vy = 0, vz = -129.198, phi = 0.0866037, theta = 915142, psi = 0, p = 0.01317, q = 139167, r = 0
Step 440: x = 0, y = 0, z = -853.46, vx = 0, vy = 0, vz = -129.492, phi = 0.086999, theta = 919318, psi = 0, p = 0.0132, q = 139484, r = 0
Step 441: x = 0, y = 0, z = -857.347, vx = 0, vy = 0, vz = -129.786, phi = 0.0873952, theta = 923505, psi = 0, p = 0.01323, q = 139801, r = 0
Step 442: x = 0, y = 0, z = -861.242, vx = 0, vy = 0, vz = -130.081, phi = 0.0877922, theta = 927701, psi = 0, p = 0.01326, q = 140118, r = 0
Step 443: x = 0, y = 0, z = -865.146, vx = 0, vy = 0, vz = -130.375, phi = 0.0881902, theta = 931906, psi = 0, p = 0.01329, q = 140435, r = 0
Step 444: x = 0, y = 0, z = -869.059, vx = 0, vy = 0, vz = -130.669, phi = 0.0885891, theta = 936121, psi = 0, p = 0.01332, q = 140752, r = 0
Step 445: x = 0, y = 0, z = -872.981, vx = 0, vy = 0, vz = -130.963, phi = 0.0889889, theta = 940345, psi = 0, p = 0.01335, q = 141069, r = 0
Step 446: x = 0, y = 0, z = -876.911, vx = 0, vy = 0, vz = -131.258, phi = 0.0893895, theta = 944579, psi = 0, p = 0.01338, q = 141386, r = 0
Step 447: x = 0, y = 0, z = -880.851, vx = 0, vy = 0, vz = -131.552, phi = 0.0897911, theta = 948823, psi = 0, p = 0.01341, q = 141703, r = 0
Step 448: x = 0, y = 0, z = -884.799, vx = 0, vy = 0, vz = -131.846, phi = 0.0901936, theta = 953076, psi = 0, p = 0.01344, q = 142020, r = 0
Step 449: x = 0, y = 0, z = -888.756, vx = 0, vy = 0, vz = -132.141, phi = 0.090597, theta = 957338, psi = 0, p = 0.01347, q = 142337, r = 0
Step 450: x = 0, y = 0, z = -892.722, vx = 0, vy = 0, vz = -132.435, phi = 0.0910012, theta = 961610, psi = 0, p = 0.0135, q = 142655, r = 0
Step 451: x = 0, y = 0, z = -896.697, vx = 0, vy = 0, vz = -132.729, phi = 0.0914064, theta = 965892, psi = 0, p = 0.01353, q = 142972, r = 0
Step 452: x = 0, y = 0, z = -900.681, vx = 0, vy = 0, vz = -133.024, phi = 0.0918125, theta = 970183, psi = 0, p = 0.01356, q = 143289, r = 0
Step 453: x = 0, y = 0, z = -904.673, vx = 0, vy = 0, vz = -133.318, phi = 0.0922195, theta = 974483, psi = 0, p = 0.01359, q = 143606, r = 0
Step 454: x = 0, y = 0, z = -908.674, vx = 0, vy = 0, vz = -133.612, phi = 0.0926273, theta = 978793, psi = 0, p = 0.01362, q = 143923, r = 0
Step 455: x = 0, y = 0, z = -912.684, vx = 0, vy = 0, vz = -133.906, phi = 0.0930361, theta = 983113, psi = 0, p = 0.01365, q = 144240, r = 0
Step 456: x = 0, y = 0, z = -916.703, vx = 0, vy = 0, vz = -134.201, phi = 0.0934458, theta = 987442, psi = 0, p = 0.01368, q = 144557, r = 0
Step 457: x = 0, y = 0, z = -920.731, vx = 0, vy = 0, vz = -134.495, phi = 0.0938564, theta = 991780, psi = 0, p = 0.01371, q = 144874, r = 0
Step 458: x = 0, y = 0, z = -924.768, vx = 0, vy = 0, vz = -134.789, phi = 0.0942678, theta = 996128, psi = 0, p = 0.01374, q = 145191, r = 0
Step 459: x = 0, y = 0, z = -928.813, vx = 0, vy = 0, vz = -135.084, phi = 0.0946802, theta = 1.00049e+06, psi = 0, p = 0.01377, q = 145508, r = 0
Step 460: x = 0, y = 0, z = -932.867, vx = 0, vy = 0, vz = -135.378, phi = 0.0950935, theta = 1.00485e+06, psi = 0, p = 0.0138, q = 145825, r = 0
Step 461: x = 0, y = 0, z = -936.93, vx = 0, vy = 0, vz = -135.672, phi = 0.0955077, theta = 1.00923e+06, psi = 0, p = 0.01383, q = 146142, r = 0
Step 462: x = 0, y = 0, z = -941.002, vx = 0, vy = 0, vz = -135.967, phi = 0.0959227, theta = 1.01362e+06, psi = 0, p = 0.01386, q = 146459, r = 0
Step 463: x = 0, y = 0, z = -945.083, vx = 0, vy = 0, vz = -136.261, phi = 0.0963387, theta = 1.01801e+06, psi = 0, p = 0.01389, q = 146776, r = 0
Step 464: x = 0, y = 0, z = -949.172, vx = 0, vy = 0, vz = -136.555, phi = 0.0967556, theta = 1.02242e+06, psi = 0, p = 0.01392, q = 147093, r = 0
Step 465: x = 0, y = 0, z = -953.271, vx = 0, vy = 0, vz = -136.849, phi = 0.0971734, theta = 1.02683e+06, psi = 0, p = 0.01395, q = 147410, r = 0
Step 466: x = 0, y = 0, z = -957.378, vx = 0, vy = 0, vz = -137.144, phi = 0.097592, theta = 1.03126e+06, psi = 0, p = 0.01398, q = 147727, r = 0
Step 467: x = 0, y = 0, z = -961.494, vx = 0, vy = 0, vz = -137.438, phi = 0.0980116, theta = 1.03569e+06, psi = 0, p = 0.01401, q = 148044, r = 0
Step 468: x = 0, y = 0, z = -965.619, vx = 0, vy = 0, vz = -137.732, phi = 0.0984321, theta = 1.04013e+06, psi = 0, p = 0.01404, q = 148361, r = 0
Step 469: x = 0, y = 0, z = -969.753, vx = 0, vy = 0, vz = -138.027, phi = 0.0988535, theta = 1.04458e+06, psi = 0, p = 0.01407, q = 148678, r = 0
Step 470: x = 0, y = 0, z = -973.895, vx = 0, vy = 0, vz = -138.321, phi = 0.0992757, theta = 1.04905e+06, psi = 0, p = 0.0141, q = 148995, r = 0
Step 471: x = 0, y = 0, z = -978.046, vx = 0, vy = 0, vz = -138.615, phi = 0.0996989, theta = 1.05352e+06, psi = 0, p = 0.01413, q = 149312, r = 0
Step 472: x = 0, y = 0, z = -982.207, vx = 0, vy = 0, vz = -138.91, phi = 0.100123, theta = 1.058e+06, psi = 0, p = 0.01416, q = 149629, r = 0
Step 473: x = 0, y = 0, z = -986.376, vx = 0, vy = 0, vz = -139.204, phi = 0.100548, theta = 1.06249e+06, psi = 0, p = 0.01419, q = 149946, r = 0
Step 474: x = 0, y = 0, z = -990.553, vx = 0, vy = 0, vz = -139.498, phi = 0.100974, theta = 1.06699e+06, psi = 0, p = 0.01422, q = 150263, r = 0
Step 475: x = 0, y = 0, z = -994.74, vx = 0, vy = 0, vz = -139.792, phi = 0.101401, theta = 1.0715e+06, psi = 0, p = 0.01425, q = 150580, r = 0
Step 476: x = 0, y = 0, z = -998.936, vx = 0, vy = 0, vz = -140.087, phi = 0.101828, theta = 1.07602e+06, psi = 0, p = 0.01428, q = 150897, r = 0
Step 477: x = 0, y = 0, z = -1003.14, vx = 0, vy = 0, vz = -140.381, phi = 0.102257, theta = 1.08055e+06, psi = 0, p = 0.01431, q = 151214, r = 0
